% Left leg v8 F150
165.8333333	97.5
166	97.5
166.1666667	97.5
166.3333333	97
166.5	97
166.6666667	97
166.8333333	97
167	97
167.1666667	97
167.3333333	97
167.5	97.5
167.6666667	97.5
167.8333333	97.5
168	97.5
168.1666667	97.5
168.3333333	97.5
168.5	97.5
168.6666667	97.5
168.8333333	97.5
169	97
169.1666667	97
169.3333333	97
169.5	97
169.6666667	97
169.8333333	97
170	97
170.1666667	97
170.3333333	97
170.5	97
170.6666667	97
170.8333333	97
171	97
171.1666667	97
171.3333333	97
171.5	97
171.6666667	97
171.8333333	97
172	96.5
172.1666667	96.5
172.3333333	96.5
172.5	97
172.6666667	97
172.8333333	97
173	97
173.1666667	97
173.3333333	97
173.5	97
173.6666667	97
173.8333333	96.5
174	96.5
174.1666667	96.5
174.3333333	96.5
174.5	96.5
174.6666667	96.5
174.8333333	96.5
175	96.5
175.1666667	96.5
175.3333333	96.5
175.5	96.5
175.6666667	96.5
175.8333333	96.5
176	96.5
176.1666667	96.5
176.3333333	96.5
176.5	96.5
176.6666667	96.5
176.8333333	96.5
177	96.5
177.1666667	96.5
177.3333333	96.5
177.5	96.5
177.6666667	96.5
177.8333333	96.5
178	96.5
178.1666667	96.5
178.3333333	97
178.5	96.5
178.6666667	96.5
178.8333333	96.5
179	96.5
179.1666667	96.5
179.3333333	96.5
179.5	96.5
179.6666667	96.5
179.8333333	96.5
180	96.5
180.1666667	96.5
180.3333333	96.5
180.5	96.5
180.6666667	96.5
180.8333333	96.5
181	96.5
181.1666667	96.5
181.3333333	96.5
181.5	96.5
181.6666667	96.5
181.8333333	96.5
182	96.5
182.1666667	96.5
182.3333333	96
182.5	96
182.6666667	96.5
182.8333333	96.5
183	96.5
183.1666667	97
183.3333333	97
183.5	97
183.6666667	97
183.8333333	97
184	97
184.1666667	97
184.3333333	96.5
184.5	96.5
184.6666667	96.5
184.8333333	96.5
185	96.5
185.1666667	96.5
185.3333333	96.5
185.5	96.5
185.6666667	96.5
185.8333333	96.5
186	96.5
186.1666667	96.5
186.3333333	96.5
186.5	96.5
186.6666667	96.5
186.8333333	96.5
187	96.5
